Country,,Delegitimization,Diaspora,Elections,Escalation,HS_ANTI_FOREIGN_KE,HS_CLAN_SOM,HS_DEHUMANISE_KE,HS_DEHUMANISE_SOM,HS_ETHNIC_KE,HS_ETHNIC_SS,HS_GENDER_SOM,HS_POLITICAL_KE,HS_POLITICAL_SS,HS_RELIGIOUS_SOM,Hate Speech,Mixed/Monitoring,Peace,Unknown,Violent Extremism,Total
Kenya,27,18,123,50,0,1,0,4,0,12,0,0,14,0,0,799,0,220,0,475,1743
Regional,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Somalia,10,119,0,0,20,0,60,0,124,0,0,1,0,0,53,1450,356,20,1178,411,3802
South Sudan,2,100,164,103,0,0,0,0,0,0,2,0,0,20,0,859,0,38,0,194,1482
Total,46,237,287,153,20,1,60,4,124,12,2,1,14,20,53,3108,356,278,1178,1080,7034
