Platform,,Delegitimization,Diaspora,Elections,Escalation,HS_ANTI_FOREIGN_KE,HS_CLAN_SOM,HS_DEHUMANISE_KE,HS_DEHUMANISE_SOM,HS_ETHNIC_KE,HS_ETHNIC_SS,HS_GENDER_SOM,HS_POLITICAL_KE,HS_POLITICAL_SS,HS_RELIGIOUS_SOM,Hate Speech,Mixed/Monitoring,Peace,Unknown,Violent Extremism,Total
facebook,0,73,86,68,0,0,0,0,0,0,0,0,0,0,0,1127,0,121,136,362,1973
tiktok,0,0,0,0,0,0,21,0,9,0,0,0,0,0,10,0,0,0,114,0,154
x,46,164,201,85,20,1,39,4,115,12,2,1,14,20,43,1981,356,157,928,718,4907
Total,46,237,287,153,20,1,60,4,124,12,2,1,14,20,53,3108,356,278,1178,1080,7034
